                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7623      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10 
                            model_number                                 star_age                                star_mass                                   log_dt                             log_abs_mdot                                num_zones                                   radius                                center_h1                              num_retries                              num_backups 
                                       1                  2.5043660144762046E+005                  1.0000000000000000E+000                  5.3986978015555014E+000                 -9.8999999999999986E+001                                      766                  1.0460531346996864E+000                  6.9991378439708885E-001                                        0                                        0 
                                       5                  1.8636490133326123E+006                  1.0000000000000000E+000                  5.7154227857460000E+000                 -9.8999999999999986E+001                                      361                  1.0504827345420669E+000                  6.9986792782106355E-001                                        0                                        0 
                                      10                  5.0106183727462068E+006                  1.0000000000000000E+000                  5.8075134462236155E+000                 -9.8999999999999986E+001                                      363                  1.0365914306235731E+000                  6.9977530116793585E-001                                        0                                        0 
                                      15                  1.0743342123492202E+007                  1.0000000000000000E+000                  6.2034196764617402E+000                 -9.8999999999999986E+001                                      361                  9.3296298445798698E-001                  6.9956540721999672E-001                                        0                                        0 
                                      18                  1.7720881662701622E+007                  1.0000000000000000E+000                  6.4409634146046146E+000                 -9.8999999999999986E+001                                      361                  8.9417295237871708E-001                  6.9918636533139977E-001                                        0                                        0 
                                      20                  2.5008193286948469E+007                  1.0000000000000000E+000                  6.5993259066998640E+000                 -9.8999999999999986E+001                                      361                  8.9394812042800353E-001                  6.9878017832783246E-001                                        0                                        0 
                                      25                  6.0503707733999975E+007                  1.0000000000000000E+000                  6.9952321369379877E+000                 -9.8999999999999986E+001                                      361                  8.9920161641321605E-001                  6.9670735341115420E-001                                        0                                        0 
                                      30                  1.4882790624288720E+008                  1.0000000000000000E+000                  7.3911383671761124E+000                 -9.8999999999999986E+001                                      361                  9.0323189256098479E-001                  6.9103576545969037E-001                                        0                                        0 
                                      35                  3.6860677587652135E+008                  1.0000000000000000E+000                  7.7870445974142362E+000                 -9.8999999999999986E+001                                      361                  9.0870961200753841E-001                  6.7503080804356419E-001                                        0                                        0 
                                      40                  9.1548693276328588E+008                  1.0000000000000000E+000                  8.1829508276523590E+000                 -9.8999999999999986E+001                                      361                  9.2001327609151329E-001                  6.3398867220149580E-001                                        0                                        0 
                                      45                  2.2762997647477593E+009                  1.0000000000000000E+000                  8.5788570578904846E+000                 -9.8999999999999986E+001                                      361                  9.5009277559606542E-001                  5.2864624321477449E-001                                        0                                        0 
                                      49                  4.7188910939910393E+009                  1.0000000000000000E+000                  8.8955820420809832E+000                 -9.8999999999999986E+001                                      361                  1.0220446587894443E+000                  3.1917956545596504E-001                                        0                                        0 
                                      50                  5.3799146432481899E+009                  1.0000000000000000E+000                  8.8202169316947998E+000                 -9.8999999999999986E+001                                      361                  1.0472338207698593E+000                  2.5483512857277735E-001                                        0                                        0 
                                      55                  7.6205721240915508E+009                  1.0000000000000000E+000                  8.5076429764315353E+000                 -9.8999999999999986E+001                                      360                  1.1589493854414767E+000                  2.0448552317961201E-002                                        0                                        0 
                                      60                  8.4942772328454971E+009                  1.0000000000000000E+000                  8.0555411227967060E+000                 -9.8999999999999986E+001                                      364                  1.2264517115045201E+000                  1.0193323627172429E-003                                        0                                        0 
                                      61                  8.5968277488409233E+009                  1.0000000000000000E+000                  8.0109378499155248E+000                 -9.8999999999999986E+001                                      363                  1.2360261094837972E+000                  6.3663441381976282E-004                                        0                                        0 
